100,150,-80
160,150,-72
220,150,-64
280,150,-56
340,150,-48
400,150,-40
460,150,-32
520,150,-24
580,150,-16
640,150,-8
700,150,0
760,150,8
820,150,16
880,150,24
940,150,32
1000,150,40
1060,150,48
1120,150,56
1180,150,64
1240,150,72
100,200,80
160,200,-80
220,200,-72
280,200,-64
340,200,-56
400,200,-48
460,200,-40
520,200,-32
580,200,-24
640,200,-16
700,200,-8
760,200,0
820,200,8
880,200,16
940,200,24
1000,200,32
1060,200,40
1120,200,48
1180,200,56
1240,200,64
100,250,72
160,250,80
220,250,-80
280,250,-72
340,250,-64
400,250,-56
460,250,-48
520,250,-40
580,250,-32
640,250,-24
700,250,-16
760,250,-8
820,250,0
880,250,8
940,250,16
1000,250,24
1060,250,32
1120,250,40
1180,250,48
1240,250,56
100,300,64
160,300,72
220,300,80
280,300,-80
340,300,-72
400,300,-64
460,300,-56
520,300,-48
580,300,-40
640,300,-32
700,300,-24
760,300,-16
820,300,-8
880,300,0
940,300,8
1000,300,16
1060,300,24
1120,300,32
1180,300,40
1240,300,48
100,350,56
160,350,64
220,350,72
280,350,80
340,350,-80
400,350,-72
460,350,-64
520,350,-56
580,350,-48
640,350,-40
700,350,-32
760,350,-24
820,350,-16
880,350,-8
940,350,0
1000,350,8
1060,350,16
1120,350,24
1180,350,32
1240,350,40
100,400,48
160,400,56
220,400,64
280,400,72
340,400,80
400,400,-80
460,400,-72
520,400,-64
580,400,-56
640,400,-48
700,400,-40
760,400,-32
820,400,-24
880,400,-16
940,400,-8
1000,400,0
1060,400,8
1120,400,16
1180,400,24
1240,400,32
100,450,40
160,450,48
220,450,56
280,450,64
340,450,72
400,450,80
460,450,-80
520,450,-72
580,450,-64
640,450,-56
700,450,-48
760,450,-40
820,450,-32
880,450,-24
940,450,-16
1000,450,-8
1060,450,0
1120,450,8
1180,450,16
1240,450,24
100,500,32
160,500,40
220,500,48
280,500,56
340,500,64
400,500,72
460,500,80
520,500,-80
580,500,-72
640,500,-64
700,500,-56
760,500,-48
820,500,-40
880,500,-32
940,500,-24
1000,500,-16
1060,500,-8
1120,500,0
1180,500,8
1240,500,16
100,550,24
160,550,32
220,550,40
280,550,48
340,550,56
400,550,64
460,550,72
520,550,80
580,550,-80
640,550,-72
700,550,-64
760,550,-56
820,550,-48
880,550,-40
940,550,-32
1000,550,-24
1060,550,-16
1120,550,-8
1180,550,0
1240,550,8
100,600,16
160,600,24
220,600,32
280,600,40
340,600,48
400,600,56
460,600,64
520,600,72
580,600,80
640,600,-80
700,600,-72
760,600,-64
820,600,-56
880,600,-48
940,600,-40
1000,600,-32
1060,600,-24
1120,600,-16
1180,600,-8
1240,600,0
100,650,8
160,650,16
220,650,24
280,650,32
340,650,40
400,650,48
460,650,56
520,650,64
580,650,72
640,650,80
700,650,-80
760,650,-72
820,650,-64
880,650,-56
940,650,-48
1000,650,-40
1060,650,-32
1120,650,-24
1180,650,-16
1240,650,-8
100,700,0
160,700,8
220,700,16
280,700,24
340,700,32
400,700,40
460,700,48
520,700,56
580,700,64
640,700,72
700,700,80
760,700,-80
820,700,-72
880,700,-64
940,700,-56
1000,700,-48
1060,700,-40
1120,700,-32
1180,700,-24
1240,700,-16
100,750,-8
160,750,0
220,750,8
280,750,16
340,750,24
400,750,32
460,750,40
520,750,48
580,750,56
640,750,64
700,750,72
760,750,80
820,750,-80
880,750,-72
940,750,-64
1000,750,-56
1060,750,-48
1120,750,-40
1180,750,-32
1240,750,-24
100,800,-16
160,800,-8
220,800,0
280,800,8
340,800,16
400,800,24
460,800,32
520,800,40
580,800,48
640,800,56
700,800,64
760,800,72
820,800,80
880,800,-80
940,800,-72
1000,800,-64
1060,800,-56
1120,800,-48
1180,800,-40
1240,800,-32
100,850,-24
160,850,-16
220,850,-8
280,850,0
340,850,8
400,850,16
460,850,24
520,850,32
580,850,40
640,850,48
700,850,56
760,850,64
820,850,72
880,850,80
940,850,-80
1000,850,-72
1060,850,-64
1120,850,-56
1180,850,-48
1240,850,-40
100,900,-32
160,900,-24
220,900,-16
280,900,-8
340,900,0
400,900,8
460,900,16
520,900,24
580,900,32
640,900,40
700,900,48
760,900,56
820,900,64
880,900,72
940,900,80
1000,900,-80
1060,900,-72
1120,900,-64
1180,900,-56
1240,900,-48
100,950,-40
160,950,-32
220,950,-24
280,950,-16
340,950,-8
400,950,0
460,950,8
520,950,16
580,950,24
640,950,32
700,950,40
760,950,48
820,950,56
880,950,64
940,950,72
1000,950,80
1060,950,-80
1120,950,-72
1180,950,-64
1240,950,-56
100,1000,-48
160,1000,-40
220,1000,-32
280,1000,-24
340,1000,-16
400,1000,-8
460,1000,0
520,1000,8
580,1000,16
640,1000,24
700,1000,32
760,1000,40
820,1000,48
880,1000,56
940,1000,64
1000,1000,72
1060,1000,80
1120,1000,-80
1180,1000,-72
1240,1000,-64
100,1050,-56
160,1050,-48
220,1050,-40
280,1050,-32
340,1050,-24
400,1050,-16
460,1050,-8
520,1050,0
580,1050,8
640,1050,16
700,1050,24
760,1050,32
820,1050,40
880,1050,48
940,1050,56
1000,1050,64
1060,1050,72
1120,1050,80
1180,1050,-80
1240,1050,-72
100,1100,-64
160,1100,-56
220,1100,-48
280,1100,-40
340,1100,-32
400,1100,-24
460,1100,-16
520,1100,-8
580,1100,0
640,1100,8
700,1100,16
760,1100,24
820,1100,32
880,1100,40
940,1100,48
1000,1100,56
1060,1100,64
1120,1100,72
1180,1100,80
1240,1100,-80
100,1150,-72
160,1150,-64
220,1150,-56
280,1150,-48
340,1150,-40
400,1150,-32
460,1150,-24
520,1150,-16
580,1150,-8
640,1150,0
700,1150,8
760,1150,16
820,1150,24
880,1150,32
940,1150,40
1000,1150,48
1060,1150,56
1120,1150,64
1180,1150,72
1240,1150,80
100,1200,-80
160,1200,-72
220,1200,-64
280,1200,-56
340,1200,-48
400,1200,-40
460,1200,-32
520,1200,-24
580,1200,-16
640,1200,-8
700,1200,0
760,1200,8
820,1200,16
880,1200,24
940,1200,32
1000,1200,40
1060,1200,48
1120,1200,56
1180,1200,64
1240,1200,72
100,1250,80
160,1250,-80
220,1250,-72
280,1250,-64
340,1250,-56
400,1250,-48
460,1250,-40
520,1250,-32
580,1250,-24
640,1250,-16
700,1250,-8
760,1250,0
820,1250,8
880,1250,16
940,1250,24
1000,1250,32
1060,1250,40
1120,1250,48
1180,1250,56
1240,1250,64
100,1300,72
160,1300,80
220,1300,-80
280,1300,-72
340,1300,-64
400,1300,-56
460,1300,-48
520,1300,-40
580,1300,-32
640,1300,-24
700,1300,-16
760,1300,-8
820,1300,0
880,1300,8
940,1300,16
1000,1300,24
1060,1300,32
1120,1300,40
1180,1300,48
1240,1300,56
100,1350,64
160,1350,72
220,1350,80
280,1350,-80
340,1350,-72
400,1350,-64
460,1350,-56
520,1350,-48
580,1350,-40
640,1350,-32
700,1350,-24
760,1350,-16
820,1350,-8
880,1350,0
940,1350,8
1000,1350,16
1060,1350,24
1120,1350,32
1180,1350,40
1240,1350,48
